Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SJH,SJD,SJA
E0,18-10-2008,Liverpool,Wigan,3,2,H,1,2,A,A Wiley,17,7,7,4,10,13,5,2,1,1,0,1,1.4,4.33,9,1.3,4.5,9,1.4,4.33,8.5,1.3,4.4,8.5,1.36,4.33,10,1.33,4.3,8.5,1.4,4.1,9.5
E0,18-10-2008,Man United,West Brom,4,0,H,0,0,D,M Halsey,18,6,14,2,11,14,15,1,0,1,0,0,1.2,6.5,15,1.2,5.5,12,1.2,6.5,13,1.2,5.2,11,1.2,6,15,1.15,6,15,1.2,6,17
E0,18-10-2008,Middlesbrough,Chelsea,0,5,A,0,1,A,P Dowd,7,21,4,14,13,9,5,7,2,0,0,0,6,3.7,1.62,6,3.5,1.55,5.5,3.6,1.65,5,3.5,1.6,7,3.75,1.53,6,3.5,1.53,7,3.75,1.53
E0,19-10-2008,Hull,West Ham,1,0,H,0,0,D,C Foy,12,14,4,5,11,11,3,5,2,1,0,0,2.62,3.25,2.75,2.4,3.15,2.75,2.6,3.2,2.75,2.3,3.1,2.8,2.25,3.4,3.1,2.3,3.2,2.8,2.5,3.2,2.88
E0,19-10-2008,Stoke,Tottenham,2,1,H,1,1,D,L Mason,7,11,3,6,12,12,6,1,1,2,0,2,3.25,3.3,2.25,3.25,3.15,2.1,3.25,3.2,2.25,3,3.1,2.2,3.2,3.2,2.3,3.2,3.2,2.1,3.2,3.25,2.25
E0,20-10-2008,Newcastle,Man City,2,2,D,1,1,D,R Styles,6,20,2,8,15,15,5,10,0,2,1,0,3,3.25,2.4,2.8,3.15,2.35,2.9,3.2,2.4,2.5,3.2,2.5,2.9,3.3,2.4,2.8,3.2,2.3,2.88,3.2,2.5
E0,25-10-2008,Blackburn,Middlesbrough,1,1,D,0,0,D,M Dean,13,5,5,2,17,11,9,2,3,1,0,0,2.1,3.25,3.75,2,3.1,3.6,2.1,3.2,3.6,1.9,3.2,3.6,1.83,3.2,3.75,2.05,3.2,3.3,2,3.25,4
E0,25-10-2008,Everton,Man United,1,1,D,0,1,A,A Wiley,13,18,9,14,17,11,5,9,3,3,0,0,7.5,4,1.5,6.5,3.6,1.5,7,3.6,1.55,5.5,3.5,1.55,5,3.5,1.57,6.25,3.6,1.5,7,3.75,1.53
E0,25-10-2008,Sunderland,Newcastle,2,1,H,1,1,D,M Riley,14,10,3,5,11,11,2,4,1,2,0,0,2.2,3.3,3.4,2.1,3.15,3.25,2.2,3.25,3.25,2.1,3.1,3.2,2.2,3.2,2.8,2.1,3.2,3.2,2.2,3.25,3.4
E0,25-10-2008,West Brom,Hull,0,3,A,0,0,D,L Probert,24,16,16,10,12,13,14,5,1,2,0,0,2.2,3.3,3.4,2.25,3.15,2.95,2.3,3.2,3.1,2.2,3.1,3,2.2,3.2,2.8,2.2,3.2,3,2.25,3.3,3.2
E0,26-10-2008,Chelsea,Liverpool,0,1,A,0,1,A,H Webb,14,8,5,3,17,13,4,2,3,3,0,0,1.91,3.25,4.5,1.85,3.25,4,1.95,3.2,4.2,1.9,3.2,3.6,1.73,3.1,4.5,1.85,3.2,4,1.9,3.2,4.5
E0,26-10-2008,Man City,Stoke,3,0,H,1,0,H,S Tanner,18,9,12,6,12,16,6,8,1,0,0,0,1.44,4.33,7.5,1.4,4,7.25,1.47,4.25,6.5,1.45,3.7,6.5,1.5,3.5,6,1.45,4,6.2,1.44,4.1,8
E0,26-10-2008,Portsmouth,Fulham,1,1,D,0,0,D,M Halsey,21,9,12,5,7,7,8,6,0,0,0,0,1.83,3.5,4.5,1.7,3.35,4.7,1.8,3.3,5,1.75,3.3,4.2,1.67,3.3,4.5,1.75,3.4,4.2,1.73,3.5,5
E0,26-10-2008,Tottenham,Bolton,2,0,H,1,0,H,A Marriner,19,10,9,3,9,16,3,4,0,3,0,1,2.05,3.3,4,1.85,3.3,3.85,2,3.3,3.75,1.8,3.2,4,1.91,3.2,3.5,1.9,3.25,3.75,1.95,3.3,4.1
E0,26-10-2008,West Ham,Arsenal,0,2,A,0,0,D,P Dowd,7,20,3,10,13,9,4,9,2,3,1,0,6,3.75,1.62,5.5,3.4,1.6,5.75,3.6,1.62,4.5,3.5,1.65,4.5,3.5,1.62,5.5,3.4,1.6,6,3.6,1.62
E0,26-10-2008,Wigan,Aston Villa,0,4,A,0,1,A,M Jones,17,9,5,7,14,8,9,4,1,2,0,0,2.6,3.3,2.75,2.5,3.15,2.6,2.55,3.2,2.75,2.5,3,2.7,2.6,3.1,2.4,2.5,3.2,2.55,2.6,3.2,2.75
E0,28-10-2008,Newcastle,West Brom,2,1,H,2,0,H,M Dean,10,14,5,4,13,11,7,8,0,4,0,0,1.83,3.5,4.5,1.85,3.25,4,1.9,3.3,4,1.9,3.2,3.6,1.83,3.2,3.75,1.85,3.4,3.75,1.83,3.4,4.5
E0,29-10-2008,Arsenal,Tottenham,4,4,D,1,1,D,M Atkinson,20,9,12,6,8,17,9,1,1,4,0,0,1.44,4.5,7.5,1.4,4,7.5,1.45,4,7,1.45,3.7,6.5,1.44,3.6,6.5,1.44,3.75,7,1.44,4.1,8
E0,29-10-2008,Aston Villa,Blackburn,3,2,H,1,1,D,K Stroud,8,11,4,5,5,17,4,5,0,1,0,0,1.67,3.75,5.5,1.6,3.45,5.5,1.7,3.4,5,1.75,3.3,4.2,1.73,3.2,4.33,1.6,3.4,5.5,1.67,3.6,5.5
